행정동,search_23,search_24,search_25,CAGR,avg_naver,blog_post,하이브리드_점수
가산동,35537,32129,37758,0.031 ,3.22586,63110,0.518813683
구로3동,441361,450499,255619,-0.239 ,3.528269,187292,0.237070889
논현2동,172018,154145,145240,-0.081 ,2.998529,37964,0.221713351
대치4동,508302,477925,919531,0.345 ,4.757831,177561,0.223483649
문정2동,162927,161812,173150,0.031 ,2.863995,103715,0.217937118
방배1동,125352,113044,115044,-0.042 ,1.9103,104467,0.197219272
삼성1동,1465353,1117691,1084593,-0.140 ,17.6947,320376,0.239591414
삼성2동,102929,82788,72554,-0.160 ,2.409575,43155,0.231137799
상암동,275207,272871,243864,-0.059 ,3.114066,134958,0.249602952
서교동,2672843,2408900,2078514,-0.118 ,31.79264,2188447,0.326953877
서초2동,2116639,1736568,1643689,-0.119 ,23.6059,575268,0.224286198
서초3동,424785,364353,389787,-0.042 ,3.221998,125476,0.205625115
성수동,1903467,1899454,1923897,0.005 ,44.40421,1019129,0.227174481
송파2동,38675,34324,34706,-0.053 ,0.866451,354804,0.197748992
신당동,215555,174850,177599,-0.092 ,2.473458,193850,0.214967768
압구정동,862247,659799,559269,-0.195 ,13.43391,910140,0.266334924
양평2동,194943,176410,153964,-0.111 ,3.85924,91502,0.200112383
여의동,1641198,1404443,1234721,-0.133 ,18.92362,361290,0.27976805
염리동,344969,299394,278246,-0.102 ,3.396465,80461,0.204315301
용강동,192975,167438,187943,-0.013 ,1.510761,358838,0.206979445
중림동,97028,85215,71190,-0.143 ,0.539264,54989,0.201642368
청담동,240450,185528,180615,-0.133 ,3.048984,507458,0.219140779
효창동,50049,41334,51298,0.012 ,0.660655,31907,0.235118107
